,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Legal Business Name,Provider Changed Ownership in Last 12 Months,Overall Rating,Health Inspection Rating,QM Rating,Long-Stay QM Rating,Short-Stay QM Rating,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date
4415,COLONIAL MANORS OF COLUMBUS COMMUNITY,COLUMBUS JUNCTION,IA,52738,Louisa,For profit - Corporation,39,COLONIAL MANORS OF COLUMBUS COMMUNITY INC,N,2.0,2.0,3.0,3.0,,0,0.0,0,0,"814 SPRINGER AVENUE,COLUMBUS JUNCTION,IA,52738",01/03/2023
4416,ARBOR COURT,MOUNT PLEASANT,IA,52641,Henry,For profit - Corporation,62,ARBOR COURT HEALTHCARE LLC,N,1.0,1.0,3.0,3.0,2.0,5,185928.9,0,5,"701 EAST MAPLELEAF DRIVE,MOUNT PLEASANT,IA,52641",01/03/2023
4417,CALVIN COMMUNITY,DES MOINES,IA,50310,Polk,Non profit - Corporation,59,CALVIN COMMUNITY,N,2.0,3.0,3.0,2.0,4.0,1,975.0,0,1,"4210 HICKMAN ROAD,DES MOINES,IA,50310",01/03/2023
4418,ST FRANCIS MANOR,GRINNELL,IA,50112,Poweshiek,For profit - Corporation,78,ST FRANCIS MANOR INC,N,5.0,5.0,5.0,5.0,5.0,0,0.0,0,0,"2021 FOURTH AVENUE,GRINNELL,IA,50112",01/03/2023
4419,MAYFLOWER HOME,GRINNELL,IA,50112,Poweshiek,Non profit - Church related,60,MAYFLOWER HOMES INC,N,5.0,5.0,3.0,3.0,,0,0.0,0,0,"616 BROAD STREET,GRINNELL,IA,50112",01/03/2023
4420,UNITED PRESBYTERIAN HOME,WASHINGTON,IA,52353,Washington,Non profit - Corporation,59,UNITED PRESBYTERIAN HOME,N,1.0,1.0,2.0,2.0,,3,31250.0,1,4,"1203 EAST WASHINGTON STREET,WASHINGTON,IA,52353",01/03/2023
4421,HALCYON HOUSE,WASHINGTON,IA,52353,Washington,Non profit - Corporation,54,WESLEY RETIREMENT SERVICES INC,N,5.0,4.0,5.0,5.0,4.0,0,0.0,0,0,"1015 SOUTH IOWA AVENUE,WASHINGTON,IA,52353",01/03/2023
4422,ST LUKE LUTHERAN NURSING HOME,SPENCER,IA,51301,Clay,Non profit - Corporation,89,ST LUKE HOMES & SERVICES INC,N,3.0,3.0,3.0,4.0,3.0,1,9750.0,0,1,"1301 SAINT LUKE DRIVE,SPENCER,IA,51301",01/03/2023
4423,LUTHERAN RETIREMENT HOME,NORTHWOOD,IA,50459,Worth,Non profit - Church related,46,LUTHERAN RETIREMENT HOME INC.,N,4.0,5.0,2.0,2.0,,1,650.0,0,1,"701 NINTH STREET NORTH,NORTHWOOD,IA,50459",01/03/2023
4424,RUTHVEN COMMUNITY CARE CENTER,RUTHVEN,IA,51358,Palo Alto,Non profit - Corporation,46,RUTHVEN COMMUNITY CARE CENTER INC,N,1.0,2.0,2.0,1.0,3.0,0,0.0,0,0,"2701 MITCHELL STREET BOX 0,RUTHVEN,IA,51358",01/03/2023
4425,WESLEY ACRES,DES MOINES,IA,50312,Polk,For profit - Corporation,80,WESLEY RETIREMENT SERVICES INC,N,2.0,2.0,4.0,4.0,3.0,1,26032.5,0,1,"3520 GRAND AVENUE,DES MOINES,IA,50312",01/03/2023
4426,TWILIGHT ACRES,WALL LAKE,IA,51466,Sac,Non profit - Corporation,39,TWILIGHT ACRES INC.,N,1.0,1.0,4.0,4.0,,2,38028.25,1,3,"600 WEST 6TH STREET,WALL LAKE,IA,51466",01/03/2023
4427,GOLDENROD MANOR,CLARINDA,IA,51632,Page,For profit - Partnership,40,JP SENIOR HEALTHCARE LLC,N,2.0,3.0,1.0,1.0,,10,16049.31,0,10,"225 WEST LAPERLA DRIVE,CLARINDA,IA,51632",01/03/2023
4428,ACCURA HEALTHCARE OF CRESCO,CRESCO,IA,52136,Howard,For profit - Corporation,46,ACCURA HEALTHCARE OF CRESCO LLC,N,1.0,1.0,4.0,4.0,,2,29295.0,1,3,"701 VERNON ROAD SW,CRESCO,IA,52136",01/03/2023
4429,EVANS MEMORIAL HOME,CRESCO,IA,52136,Howard,Non profit - Corporation,46,"EVANS MEMORIAL HOME FOR THE AGED, INC.",N,4.0,4.0,3.0,3.0,,0,0.0,0,0,"1010 NORTH ELM STREET,CRESCO,IA,52136",01/03/2023
4430,LAKESIDE LUTHERAN HOME,EMMETSBURG,IA,50536,Palo Alto,Non profit - Church related,55,LAKESIDE LUTHERAN HOME,N,2.0,2.0,2.0,2.0,,2,3900.0,0,2,"301 NORTH LAWLER STREET,EMMETSBURG,IA,50536",01/03/2023
4431,TRIPOLI NURSING & REHAB,TRIPOLI,IA,50676,Bremer,Non profit - Corporation,28,TRIPOLI NURSING AND REHAB,N,4.0,4.0,2.0,2.0,,2,1625.0,0,2,"604 THIRD STREET SW,TRIPOLI,IA,50676",01/03/2023
4432,CLARKSVILLE SKILLED NURSING & REHAB CENTER,CLARKSVILLE,IA,50619,Butler,For profit - Corporation,42,COMMUNITY NURSING HOME INC,N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"115 NORTH HILTON ST,CLARKSVILLE,IA,50619",01/03/2023
4433,"QHC WINTERSET NORTH, LLC",WINTERSET,IA,50273,Madison,For profit - Corporation,75,Legal Business Name Not Available,N,,,,,,11,298879.67,3,14,"411 EAST LANE STREET,WINTERSET,IA,50273",01/03/2023
4434,WESTHAVEN COMMUNITY,BOONE,IA,50036,Boone,Non profit - Other,100,WESTHAVEN COMMUNITY A MINISTRY OF THE EVANGELICAL FREE CHURCH,N,3.0,3.0,4.0,4.0,,2,1636.7,0,2,"112 WEST FOURTH STREET,BOONE,IA,50036",01/03/2023
4435,BLACKHAWK LIFE CARE CENTER,LAKE VIEW,IA,51450,Sac,For profit - Corporation,45,BLACKHAWK LIFECARE INC,N,4.0,4.0,2.0,2.0,,1,3250.0,0,1,"73 WEST 5TH STREET,LAKE VIEW,IA,51450",01/03/2023
4436,ROTARY SENIOR LIVING,EAGLE GROVE,IA,50533,Wright,Non profit - Corporation,46,ROTARY CLUB OF EAGLE GROVE HOME INC,N,2.0,2.0,5.0,4.0,5.0,10,22694.38,0,10,"500 SOUTH BLAINE AVENUE,EAGLE GROVE,IA,50533",01/03/2023
4437,COMMUNITY CARE CENTER,STUART,IA,50250,Adair,For profit - Corporation,65,"COMMUNITY CARE CENTER, INC",N,3.0,3.0,3.0,3.0,3.0,2,17033.25,0,2,"325 SOUTHWEST SEVENTH STREET,STUART,IA,50250",01/03/2023
4438,HILLCREST HOME,SUMNER,IA,50674,Bremer,Non profit - Corporation,61,"HILLCREST HOME, INC.",N,3.0,4.0,4.0,4.0,,1,3250.0,0,1,"915 WEST FIRST STREET,SUMNER,IA,50674",01/03/2023
4439,GOOD NEIGHBOR HOME,MANCHESTER,IA,52057,Delaware,Non profit - Corporation,133,GOOD NEIGHBOR SOCIETY,N,5.0,4.0,2.0,2.0,3.0,1,3250.0,0,1,"105 MCCARREN DRIVE,MANCHESTER,IA,52057",01/03/2023
4440,ALGONA MANOR CARE CENTER,ALGONA,IA,50511,Kossuth,For profit - Limited Liability company,46,"ALGONA MANOR CARE CENTER, INC",N,4.0,4.0,3.0,2.0,5.0,1,3250.0,0,1,"2221 EAST MCGREGOR STREET,ALGONA,IA,50511",01/03/2023
4441,VALLEY VIEW VILLAGE,DES MOINES,IA,50317,Polk,For profit - Corporation,79,"EVANGELICAL RETIREMENT HOMES, INC.",N,3.0,3.0,4.0,4.0,5.0,1,3250.0,0,1,"2571 GUTHRIE AVENUE,DES MOINES,IA,50317",01/03/2023
4442,"MARTIN HEALTH CENTER, INC",CEDAR FALLS,IA,50613,Black Hawk,Non profit - Corporation,50,"MARTIN HEALTH CENTER, INC.",N,5.0,4.0,3.0,3.0,,0,0.0,0,0,"420 EAST 11TH STREET,CEDAR FALLS,IA,50613",01/03/2023
4443,THE ALVERNO HEALTH CARE FACILITY,CLINTON,IA,52732,Clinton,Non profit - Corporation,84,TRINITY CONTINUING CARE SERVICES,N,4.0,4.0,4.0,4.0,4.0,2,3907.8,0,2,"849 13TH AVENUE NORTH,CLINTON,IA,52732",01/03/2023
4444,DAVENPORT LUTHERAN HOME,DAVENPORT,IA,52806,Scott,Non profit - Corporation,98,LUTHERAN HOME FOR THE AGED ASSOCIATION-EAST,N,2.0,2.0,3.0,4.0,2.0,3,16517.73,0,3,"1130 W 53RD STREET,DAVENPORT,IA,52806",01/03/2023
4445,LINN MANOR CARE CENTER,MARION,IA,52302,Linn,Non profit - Corporation,38,"GRAND HAVEN HOMES, INC.",N,2.0,2.0,3.0,3.0,,2,65510.25,0,2,"1140 ELIM DRIVE,MARION,IA,52302",01/03/2023
4446,LUTHER MANOR COMMUNITIES,DUBUQUE,IA,52001,Dubuque,Non profit - Church related,103,MARTIN LUTHER HOME CORPORATION,N,3.0,3.0,2.0,1.0,3.0,1,3250.0,0,1,"3131 HILLCREST ROAD,DUBUQUE,IA,52001",01/03/2023
4447,RAMSEY VILLAGE,DES MOINES,IA,50310,Polk,For profit - Limited Liability company,78,CLAREMONT'S RAMSEY VILLAGE LLC,N,2.0,2.0,3.0,4.0,3.0,4,4579.65,0,4,"1611 27TH STREET,DES MOINES,IA,50310",01/03/2023
4448,SUNNYCREST NURSING CENTER,DYSART,IA,52224,Tama,For profit - Partnership,50,"CRESTVIEW ACRES, INC",N,1.0,2.0,2.0,2.0,,1,487.5,0,1,"401 CRISMAN STREET,DYSART,IA,52224",01/03/2023
4449,CRESTRIDGE CARE CENTER,MAQUOKETA,IA,52060,Jackson,For profit - Corporation,75,Legal Business Name Not Available,N,1.0,2.0,2.0,2.0,,2,10682.22,0,2,"1015 WESLEY DRIVE,MAQUOKETA,IA,52060",01/03/2023
4450,PARKVIEW MANOR CARE CENTER,REINBECK,IA,50669,Grundy,For profit - Individual,40,"PARKVIEW MANOR, INC.",N,4.0,3.0,5.0,5.0,,3,4882.51,0,3,"1009 THIRD STREET,REINBECK,IA,50669",01/03/2023
4451,ASPIRE OF ESTHERVILLE,ESTHERVILLE,IA,51334,Emmet,For profit - Limited Liability company,60,ESTHERVILLE SNF OPERATOR LLC,N,1.0,1.0,2.0,2.0,2.0,25,129282.93,1,26,"2001 FIRST AVENUE NORTH,ESTHERVILLE,IA,51334",01/03/2023
4452,BETHANY LUTHERAN HOME,COUNCIL BLUFFS,IA,51503,Pottawattamie,Non profit - Church related,121,BETHANY LUTHERAN HOME,N,1.0,1.0,2.0,1.0,4.0,4,36272.99,1,5,"SEVEN ELLIOTT STREET,COUNCIL BLUFFS,IA,51503",01/03/2023
4453,THE NEW HOMESTEAD CARE CENTER,GUTHRIE CENTER,IA,50115,Guthrie,Non profit - Corporation,58,"TNH OPERATIONS, LLC",N,2.0,2.0,4.0,4.0,5.0,2,19500.0,0,2,"2306 STATE STREET,GUTHRIE CENTER,IA,50115",01/03/2023
4454,PATTY ELWOOD CENTER,CRESCO,IA,52136,Howard,Non profit - Corporation,24,COUNTRY WINDS MANOR INC,N,3.0,3.0,3.0,3.0,,2,10412.73,0,2,"21668 80TH STREET,CRESCO,IA,52136",01/03/2023
4455,ACCURA HEALTHCARE OF SPIRIT LAKE,SPIRIT LAKE,IA,51360,Dickinson,For profit - Corporation,85,ACCURA HEALTHCARE OF SPIRIT LAKE LLC,N,2.0,2.0,5.0,5.0,5.0,1,650.0,0,1,"1912 ZENITH AVENUE,SPIRIT LAKE,IA,51360",01/03/2023
4456,ACCURA HEALTHCARE OF SHENANDOAH,SHENANDOAH,IA,51601,Page,For profit - Corporation,45,ACCURA HEALTHCARE OF SHENANDOAH,N,3.0,3.0,4.0,2.0,5.0,1,3250.0,0,1,"1203 SOUTH ELM STREET,SHENANDOAH,IA,51601",01/03/2023
4457,GLEN HAVEN HOME,GLENWOOD,IA,51534,Mills,For profit - Corporation,75,GLEN HAVEN HOME INC,N,1.0,1.0,2.0,1.0,5.0,5,118023.59,0,5,"252 INDIAN HILLS DRIVE,GLENWOOD,IA,51534",01/03/2023
4458,GARDEN VIEW CARE CENTER,SHENANDOAH,IA,51601,Page,For profit - Limited Liability company,90,PREMIER ESTATES 509 LLC,N,1.0,1.0,4.0,2.0,5.0,3,342485.0,0,3,"1200 WEST NISHNA ROAD,SHENANDOAH,IA,51601",01/03/2023
4459,"GRACEWELL, AN EVENTIDE COMMUNITY",DENISON,IA,51442,Crawford,Non profit - Corporation,84,EVENTIDE,N,3.0,3.0,3.0,3.0,3.0,0,0.0,0,0,"114 SOUTH 20TH STREET,DENISON,IA,51442",01/03/2023
4460,"QHC HUMBOLDT NORTH, LLC",HUMBOLDT,IA,50548,Humboldt,For profit - Limited Liability company,90,Legal Business Name Not Available,N,1.0,1.0,2.0,2.0,,6,48401.27,3,9,"1111 11TH AVE NORTH,HUMBOLDT,IA,50548",01/03/2023
4461,"ACCURA HEALTHCARE OF AURELIA, LLC",AURELIA,IA,51005,Cherokee,For profit - Limited Liability company,44,ACCURA HEALTHCARE OF AURELIA LLC,N,3.0,3.0,2.0,2.0,,0,0.0,0,0,"401 WEST FIFTH STREET,AURELIA,IA,51005",01/03/2023
4462,I O O F HOME AND COMMUNITY THERAPY CENTER,MASON CITY,IA,50401,Cerro Gordo,Non profit - Corporation,88,IOWA ODD FELLOWS & ORPHANS HOME,N,1.0,1.0,3.0,1.0,5.0,2,73387.98,1,3,"1037 19TH STREET SW,MASON CITY,IA,50401",01/03/2023
4463,HIAWATHA CARE CENTER,HIAWATHA,IA,52233,Linn,For profit - Corporation,109,HIAWATHA CARE CENTER INC,N,3.0,2.0,5.0,4.0,5.0,0,0.0,0,0,"405 NORTH 15TH AVENUE,HIAWATHA,IA,52233",01/03/2023
4464,PRAIRIE RIDGE CARE CENTER,ORANGE CITY,IA,51041,Sioux,Government - City,95,ORANGE CITY MUNICIPAL HOSPITAL,N,3.0,2.0,2.0,2.0,,1,16195.0,0,1,"1005 7TH STREET NE,ORANGE CITY,IA,51041",01/03/2023
4465,MARIAN HOME,FORT DODGE,IA,50501,Webster,Non profit - Church related,90,MARIAN HOME,N,4.0,3.0,5.0,5.0,4.0,2,1625.0,0,2,"2400 SIXTH AVENUE NORTH,FORT DODGE,IA,50501",01/03/2023
4466,COUNTRYSIDE HEALTH CARE CENTER,SIOUX CITY,IA,51106,Woodbury,For profit - Corporation,101,OPCO SIOUX CITY IA LLC,N,1.0,1.0,1.0,1.0,3.0,14,97807.03,1,15,"6120 MORNINGSIDE AVENUE,SIOUX CITY,IA,51106",01/03/2023
4467,RICEVILLE FAMILY CARE AND THERAPY CENTER,RICEVILLE,IA,50466,Mitchell,Non profit - Corporation,37,RICEVILLE COMMUNITY REST HOME,N,4.0,4.0,4.0,4.0,,1,650.0,0,1,"915 WOODLAND AVENUE,RICEVILLE,IA,50466",01/03/2023
4468,METH-WICK HEALTH CENTER,CEDAR RAPIDS,IA,52405,Linn,Non profit - Corporation,69,METH WICK COMMUNITY,N,5.0,4.0,5.0,5.0,5.0,1,3250.0,0,1,"1224 13TH STREET NW,CEDAR RAPIDS,IA,52405",01/03/2023
4469,WESLEY PARK CENTRE,NEWTON,IA,50208,Jasper,Non profit - Corporation,66,WESLEY RETIREMENT SERVICES INC,N,4.0,4.0,3.0,3.0,4.0,0,0.0,0,0,"500 FIRST STREET NORTH,NEWTON,IA,50208",01/03/2023
4470,WINDMILL MANOR,CORALVILLE,IA,52241,Johnson,Non profit - Corporation,120,RESIDENTIAL ALTERNATIVES OF ILLINOIS INC,N,5.0,5.0,2.0,1.0,3.0,0,0.0,0,0,"2332 LIBERTY DRIVE,CORALVILLE,IA,52241",01/03/2023
4471,TABOR MANOR CARE CENTER,TABOR,IA,51653,Fremont,For profit - Corporation,60,TABOR MANOR CARE CENTER INC,N,1.0,2.0,1.0,1.0,2.0,6,11536.26,0,6,"209 MAIN STREET,TABOR,IA,51653",01/03/2023
4472,PARKVIEW HOME,WAYLAND,IA,52654,Henry,Non profit - Church related,34,WAYLAND MENNONITE HOME ASSOCIATION,N,3.0,3.0,3.0,3.0,,0,0.0,0,0,"102 NORTH JACKSON STREET,WAYLAND,IA,52654",01/03/2023
4473,ARBOR SPRINGS OF WEST DES MOINES L L C,WEST DES MOINES,IA,50266,Dallas,For profit - Corporation,56,"ARBOR SPRINGS OPERATIONS, LLC",N,2.0,2.0,4.0,4.0,,1,37050.0,0,1,"7951 E P TRUE PARKWAY,WEST DES MOINES,IA,50266",01/03/2023
4474,VISTA WOODS CARE CENTER,OTTUMWA,IA,52501,Wapello,For profit - Corporation,60,OTTUMWA DEVELOPMENTS INC,N,5.0,4.0,5.0,5.0,5.0,0,0.0,0,0,"THREE PENNSYLVANIA PLACE,OTTUMWA,IA,52501",01/03/2023
4475,SOLON NURSING CARE CENTER,SOLON,IA,52333,Johnson,For profit - Corporation,96,SOLON NURSING CARE CENTER INC,N,1.0,1.0,4.0,4.0,4.0,20,385450.72,3,23,"523 EAST FIFTH STREET,SOLON,IA,52333",01/03/2023
4476,THE VINTON LUTHERAN HOME,VINTON,IA,52349,Benton,Non profit - Corporation,61,LUTHERAN HOME FOR THE AGED ASSOCIATION-EAST,N,3.0,3.0,3.0,3.0,,0,0.0,0,0,"1301 SECOND AVENUE SOUTH,VINTON,IA,52349",01/03/2023
4477,IOWA MASONIC HEALTH FACILITIES,BETTENDORF,IA,52722,Scott,Non profit - Corporation,79,BOARD OF TRUSTEES GRAND CHARITY FUNDS IOWA MASONIC NURSING HOME,N,4.0,4.0,2.0,2.0,,2,1637.71,0,2,"2500 GRANT STREET,BETTENDORF,IA,52722",01/03/2023
4478,COUNTRY VIEW MANOR INC,SIBLEY,IA,51249,Osceola,For profit - Corporation,50,COUNTRY VIEW MANOR INC,N,3.0,3.0,4.0,4.0,,0,0.0,0,0,"100 CEDAR LANE,SIBLEY,IA,51249",01/03/2023
4479,ADEL ACRES,ADEL,IA,50003,Dallas,For profit - Corporation,50,ADEL HEALTHCARE MANAGEMENT LLC,N,2.0,2.0,4.0,4.0,3.0,1,3250.0,0,1,"1919 GREENE STREET,ADEL,IA,50003",01/03/2023
4480,SUNNYCREST MANOR,DUBUQUE,IA,52001,Dubuque,Government - County,77,COUNTY OF DUBUQUE,N,3.0,3.0,1.0,1.0,,1,3250.0,0,1,"2375 ROOSEVELT STREET,DUBUQUE,IA,52001",01/03/2023
4481,DEERFIELD HEALTH CARE CENTER,URBANDALE,IA,50323,Polk,Non profit - Church related,30,IMMANUEL LONG TERM CARE,N,4.0,3.0,4.0,4.0,3.0,3,28650.0,0,3,"13731 HICKMAN ROAD,URBANDALE,IA,50323",01/03/2023
4482,ENNOBLE NURSING AND REHABILITATION,DUBUQUE,IA,52001,Dubuque,For profit - Corporation,102,ENNOBLE NURSING LLC,N,5.0,5.0,5.0,5.0,5.0,2,1649.18,0,2,"2000 PASADENA DRIVE,DUBUQUE,IA,52001",01/03/2023
4483,HERITAGE HOUSE,ATLANTIC,IA,50022,Cass,Non profit - Corporation,61,WESLEY RETIREMENT SERVICES INC,N,4.0,4.0,4.0,4.0,3.0,0,0.0,0,0,"1200 BROOKRIDGE CIRCLE,ATLANTIC,IA,50022",01/03/2023
4484,MONROE CARE CENTER,ALBIA,IA,52531,Monroe,For profit - Corporation,60,MONROE CARE CENTER INC,N,2.0,2.0,2.0,2.0,,3,175077.5,0,3,"120 NORTH THIRTEENTH STREET,ALBIA,IA,52531",01/03/2023
4485,HAWKEYE CARE CENTER DUBUQUE,ASBURY,IA,52002,Dubuque,For profit - Corporation,80,HAWKEYE CARE CENTER OF DUBUQUE LLC,N,3.0,3.0,2.0,1.0,3.0,0,0.0,0,0,"5575 PENNSLYVANIA AVENUE,ASBURY,IA,52002",01/03/2023
4486,"HIGHLAND RIDGE CARE CENTER, LLC",WILLIAMSBURG,IA,52361,Iowa,Non profit - Corporation,59,"HIGHLAND RIDGE CARE CENTER, LLC",N,5.0,4.0,3.0,3.0,3.0,0,0.0,0,0,"102 HIGHLAND CIRCLE,WILLIAMSBURG,IA,52361",01/03/2023
4487,WEST RIDGE CARE CENTER,CEDAR RAPIDS,IA,52405,Linn,For profit - Individual,60,WEST RIDGE ASSOCIATES INC,N,5.0,3.0,5.0,5.0,5.0,1,655.08,0,1,"3131 F AVENUE NW,CEDAR RAPIDS,IA,52405",01/03/2023
4488,ACCURA HEALTHCARE OF CASCADE LLC,CASCADE,IA,52033,Dubuque,For profit - Limited Liability company,46,ACCURA HEALTHCARE OF CASCADE LLC,N,4.0,5.0,1.0,1.0,,0,0.0,0,0,"701 NORTH JOHNSON STREET NW,CASCADE,IA,52033",01/03/2023
4489,WEST POINT CARE CENTER INC,WEST POINT,IA,52656,Lee,For profit - Limited Liability company,46,WEST POINT CARE CENTER INC,N,2.0,2.0,4.0,4.0,4.0,1,10016.5,0,1,"607 6TH STREET,WEST POINT,IA,52656",01/03/2023
4490,CRYSTAL HEIGHTS CARE CENTER,OSKALOOSA,IA,52577,Mahaska,For profit - Corporation,92,WILLS CORPORATION,N,2.0,2.0,4.0,4.0,,8,21526.82,0,8,"1514 HIGH AVENUE WEST,OSKALOOSA,IA,52577",01/03/2023
4491,PRAIRIE VIEW HOME,SANBORN,IA,51248,Obrien,Non profit - Corporation,73,PRAIRIE VIEW LEASING,N,5.0,5.0,5.0,5.0,,0,0.0,0,0,"610 EASTERN STREET,SANBORN,IA,51248",01/03/2023
4492,PROMEDICA SKILLED NURSING & REHAB ( UTICA RIDGE ),DAVENPORT,IA,52807,Scott,Non profit - Corporation,120,MANORCARE HEALTH SERVICES LLC,N,2.0,2.0,4.0,5.0,3.0,7,59861.9,0,7,"3800 COMMERCE BLVD,DAVENPORT,IA,52807",01/03/2023
4493,OSSIAN SENIOR HOSPICE,OSSIAN,IA,52161,Winneshiek,Non profit - Corporation,46,OSSIAN SENIOR HOSPICE INCORPORATED,N,3.0,3.0,3.0,3.0,,2,5655.08,0,2,"114 FISHER STREET,OSSIAN,IA,52161",01/03/2023
4494,GREEN HILLS HEALTH CARE CENTER,AMES,IA,50014,Story,For profit - Corporation,56,"GREEN HILLS HEALTH CARE CENTER, INC",N,5.0,5.0,4.0,4.0,4.0,0,0.0,0,0,"2200 HAMILTON DRIVE,AMES,IA,50014",01/03/2023
4495,PREMIER ESTATES OF MUSCATINE,MUSCATINE,IA,52761,Muscatine,For profit - Corporation,100,"PREMIER ESTATES OF MUSCATINE, LLC",N,2.0,2.0,2.0,1.0,2.0,1,3250.0,0,1,"3440 MULBERRY AVENUE,MUSCATINE,IA,52761",01/03/2023
4496,MAQUOKETA CARE CENTER,MAQUOKETA,IA,52060,Jackson,For profit - Corporation,46,MAQUOKETA CARE CENTER INC,N,5.0,4.0,5.0,5.0,,1,657.8,0,1,"1202 GERMAN STREET,MAQUOKETA,IA,52060",01/03/2023
4497,URBANDALE HEALTH CARE CENTER,URBANDALE,IA,50322,Polk,For profit - Limited Liability company,115,OPCO URBANDALE IA LLC,N,1.0,1.0,4.0,4.0,4.0,3,50297.0,1,4,"4614 NW 84TH STREET,URBANDALE,IA,50322",01/03/2023
4498,INDEPENDENCE VILLAGE OF WAUKEE,WAUKEE,IA,50263,Dallas,For profit - Corporation,48,SENIOR LIVING WAUKEE LLC,N,4.0,3.0,5.0,5.0,5.0,2,5655.1,0,2,"1645 SE HOLIDAY CREST CIRCLE,WAUKEE,IA,50263",01/03/2023
4499,BETHANY HOME,DUBUQUE,IA,52001,Dubuque,Non profit - Corporation,66,BETHANY HOME,N,1.0,1.0,3.0,3.0,,2,14125.08,0,2,"1005 LINCOLN AVENUE,DUBUQUE,IA,52001",01/03/2023
4500,ASPIRE OF MUSCATINE,MUSCATINE,IA,52761,Muscatine,For profit - Limited Liability company,100,MUSCATINE SNF OPERATOR LLC,N,1.0,1.0,2.0,2.0,,17,105108.5,0,17,"2002 CEDAR STREET,MUSCATINE,IA,52761",01/03/2023
4501,TIMELY MISSION NURSING HOME,BUFFALO CENTER,IA,50424,Winnebago,Non profit - Corporation,46,TIMELY MISSION NURSING HOME,N,5.0,4.0,5.0,5.0,,1,6500.0,0,1,"109 MISSION DRIVE,BUFFALO CENTER,IA,50424",01/03/2023
4502,NORTHBROOK MANOR CARE CENTER,CEDAR RAPIDS,IA,52402,Linn,For profit - Corporation,130,MARJAN MANAGEMENT SERVICES LTD,N,3.0,3.0,4.0,4.0,,1,3250.0,1,2,"6420 COUNCIL STREET NE,CEDAR RAPIDS,IA,52402",01/03/2023
4503,OSKALOOSA CARE CENTER,OSKALOOSA,IA,52577,Mahaska,For profit - Corporation,83,OSKALOOSA CARE CENTER INC,N,4.0,3.0,5.0,5.0,5.0,3,29250.0,0,3,"605 HIGHWAY 432,OSKALOOSA,IA,52577",01/03/2023
4504,CLARENCE NURSING HOME,CLARENCE,IA,52216,Cedar,Non profit - Corporation,46,CLARENCE NURSING HOME INC,N,5.0,4.0,5.0,5.0,,0,0.0,0,0,"402 2ND AVENUE,CLARENCE,IA,52216",01/03/2023
4505,SPURGEON MANOR,DALLAS CENTER,IA,50063,Dallas,Non profit - Corporation,55,SPURGEON MANOR INC,N,3.0,2.0,4.0,3.0,5.0,1,20770.75,0,1,"1204 LINDEN STREET,DALLAS CENTER,IA,50063",01/03/2023
4506,SAVANNAH HEIGHTS,MOUNT PLEASANT,IA,52641,Henry,For profit - Corporation,50,PLEASANT MANOR CARE CENTER INC,N,4.0,4.0,4.0,3.0,5.0,1,657.8,0,1,"601 S PRAIRIE STREET,MOUNT PLEASANT,IA,52641",01/03/2023
4507,SCOTTISH RITE PARK INC,DES MOINES,IA,50312,Polk,For profit - Corporation,51,SCOTTISH RITE PARK INC,N,5.0,4.0,5.0,5.0,5.0,1,657.8,0,1,"2909 WOODLAND AVENUE,DES MOINES,IA,50312",01/03/2023
4508,BROOKLYN COMMUNITY ESTATES,BROOKLYN,IA,52211,Poweshiek,For profit - Corporation,60,"BROOKLYN COMMUNITY ESTATE, INC.",N,5.0,5.0,4.0,4.0,,0,0.0,0,0,"406 NORTH STREET,BROOKLYN,IA,52211",01/03/2023
4509,"AKRON  CARE CENTER, INC",AKRON,IA,51001,Plymouth,Government - City/county,45,"AKRON CARE CENTER, INC.",N,5.0,4.0,2.0,2.0,,2,3900.0,0,2,"991 HIGHWAY 3,AKRON,IA,51001",01/03/2023
4510,"EDGEWATER, A WESLEYLIFE COMMUNITY",WEST DES MOINES,IA,50266,Polk,Non profit - Corporation,40,"EDGEWATER, A WESLEY ACTIVE LIFE COMMUNITY, LLC",N,5.0,3.0,5.0,5.0,5.0,1,655.01,0,1,"9225 CASCADE AVENUE,WEST DES MOINES,IA,50266",01/03/2023
4511,CEDAR MANOR NURSING HOME,TIPTON,IA,52772,Cedar,Non profit - Other,60,"THE CEDAR FOUNDATION, INCORPORATED OF CEDAR COUNTY IOWA",N,2.0,2.0,2.0,2.0,3.0,1,23504.0,1,2,"1200 MULBERRY STREET,TIPTON,IA,52772",01/03/2023
4512,PROMEDICA SKILLED NURSING & REHAB WEST DES MOINES,WEST DES MOINES,IA,50265,Polk,Non profit - Other,120,MANOR CARE OF WEST DES MOINES IA LLC,N,1.0,1.0,3.0,3.0,2.0,5,48630.0,2,7,"5010 GRAND RIDGE DRIVE,WEST DES MOINES,IA,50265",01/03/2023
4513,PRESTIGE CARE CENTER OF FAIRFIELD,FAIRFIELD,IA,52556,Jefferson,For profit - Individual,73,SUNNYBROOK OPERATIONS LLC,N,2.0,2.0,4.0,2.0,5.0,9,113200.13,0,9,"400 HIGHLAND STREET,FAIRFIELD,IA,52556",01/03/2023
